title,price,img,description
Hyundai Santa Fe,$ 37 000,https://im.mashina.kg/tachka/images//3/d/4/3d47662e756de698e65df053dff51162_240x180.jpg,"2020 г., 2 л., автомат внедорожник 5 дв., дизель руль слева, 30 000 км"
Mercedes-Benz GLS-класс,$ 55 000,https://im.mashina.kg/tachka/images//e/9/8/e98bba2b26103d5ed6a3f5edbc61d07b_240x180.jpg,"2017 г., 3 л., автомат внедорожник 5 дв., бензин руль слева, 85 000 км"
Toyota Highlander,$ 36 000,https://im.mashina.kg/tachka/images//1/1/c/11ca8f059c9b6fe4eb0386e9a42f5aab_240x180.jpg,"2016 г., 3.5 л., автомат внедорожник 5 дв., бензин руль слева, 63 025 км"
Toyota RAV4,$ 25 000,https://im.mashina.kg/tachka/images//c/2/1/c21f5ed6d10213d084d06b8576f81b4f_240x180.jpg,"2017 г., 2.5 л., вариатор внедорожник 5 дв., гибрид руль слева, 60 000 км"
Lexus LX,$ 26 000,https://im.mashina.kg/tachka/images//0/f/f/0ff386faf8fdd8888783ed9e436d7d3e_240x180.jpg,"2006 г., 4.7 л., автомат внедорожник 5 дв., бензин руль слева, 200 000 км"
Toyota Land Cruiser Prado,$ 84 000,https://im.mashina.kg/tachka/images//e/a/e/eaee171b8e74d14b48e107814bfd32df_240x180.jpg,"2020 г., 4 л., автомат внедорожник 5 дв., бензин руль слева, 19 000 км"
Toyota Avalon,$ 24 000,https://im.mashina.kg/tachka/images//3/b/e/3be4552720a345402338a7ba7d1fc9ec_240x180.jpg,"2016 г., 2.5 л., вариатор седан, гибрид руль слева, 70 000 км"
Toyota Camry,$ 42 000,https://im.mashina.kg/tachka/images//7/9/7/797bb971735bf04cf87167fdb7f21e10_240x180.jpg,"2022 г., 2.5 л., автомат седан, бензин руль слева, 6 500 км"
Kia Sorento,$ 24 800,https://im.mashina.kg/tachka/images//e/f/3/ef3f145af18da46a34ba0ed7027bf607_240x180.jpg,"2018 г., 2 л., автомат внедорожник 5 дв., дизель руль слева, 133 314 км"
Toyota Camry,$ 25 000,https://im.mashina.kg/tachka/images//c/a/d/cadb887b6d3db24bbc9fee8c9c992f02_240x180.jpg,"2016 г., 2.5 л., автомат седан, бензин руль слева, 140 000 км"
Lexus ES,$ 31 500,https://im.mashina.kg/tachka/images//4/0/d/40db90356ec8c6db5a797cdaed9a50bf_240x180.jpg,"2015 г., 2.5 л., вариатор седан, гибрид руль слева, 150 000 км"
Volkswagen Vento,$ 2 893,https://im.mashina.kg/tachka/images//8/f/a/8fae1dd66243b2bd8076d16608657034_240x180.jpg,"1992 г., 1.8 л., механика седан, бензин руль слева, 205 000 км"
Toyota Camry,$ 26 500,https://im.mashina.kg/tachka/images//c/0/8/c08ed8cc3cf32229f4af5c0684b48cc9_240x180.jpg,"2017 г., 2.5 л., автомат седан, бензин руль слева, 75 000 км"
Kia Sorento,$ 31 000,https://im.mashina.kg/tachka/images//c/2/7/c2740e13e34db1028022edffdf5de5a5_240x180.jpg,"2017 г., 2.2 л., автомат внедорожник 5 дв., дизель руль слева, 122 000 км"
BMW X5,$ 9 600,https://im.mashina.kg/tachka/images//2/7/b/27bc9f13661bbcdc6e748ad0bb2c1637_240x180.jpg,"2003 г., 3 л., автомат внедорожник 5 дв., дизель руль слева, 390 000 км"
Kia K7,$ 15 800,https://im.mashina.kg/tachka/images//e/1/0/e107c1deec8fc79f6258b191899ae602_240x180.jpg,"2014 г., 3 л., автомат седан, бензин руль слева, 120 000 км"
Hyundai Santa Fe,$ 22 300,https://im.mashina.kg/tachka/images//d/d/5/dd5d4667308b1586769b49bbb0e63e2e_240x180.jpg,"2016 г., 2 л., автомат внедорожник 5 дв., дизель руль слева, 145 000 км"
Mercedes-Benz E-класс,$ 9 500,https://im.mashina.kg/tachka/images//f/8/e/f8eaf1788b54972f341a8e666c9270ee_240x180.jpg,"2000 г., 2.6 л., автомат седан, бензин руль слева, 260 000 км"
Hyundai Sonata,$ 13 000,https://im.mashina.kg/tachka/images//2/c/9/2c986f9d0d06e256770536b92a55268c_240x180.jpg,"2015 г., 2 л., автомат седан, бензин руль слева, 154 000 км"
Mercedes-Benz S-класс,$ 14 200,https://im.mashina.kg/tachka/images//b/3/1/b319b0a0cad8a8d0d9a4b0ff99a9b9d5_240x180.jpg,"2006 г., 5.5 л., автомат седан, бензин руль слева, 200 000 км"
